"Qualification","Experience","Rating","Place","Profile","Fees"
"MBBS, MS - ENT, DNB - ENT",31,80,"Saket, Delhi","ENT Specialist",100
"MBBS, AFIH",16,95,"Malad, Mumbai","General Medicine",100
"BDS, MDS - Prosthodontist And Crown Bridge",8,100,"Hyder Nagar, Hyderabad","Dentist",250
"BHMS, M. D. Hom. (Practice of Medicine)",12,100,"Dahisar West, Mumbai","Homeopath",500
"BAMS, Diploma in Emergency Medicine, Diploma in Counselling Skills",31,100,"RT Nagar, Bangalore","Ayurveda",500
"BAMS",8,95,"Saroor Nagar, Hyderabad","Ayurveda",300
"MD - Homeopathy, DHMS (Diploma in Homeopathic Medicine and Surgery)",22,99,"Powai, Mumbai","Homeopath",500
"MBBS, MD - Dermatology , Venereology & Leprosy",7,95,"Basheerbagh, Hyderabad","Dermatologists",500
"BDS, MDS - Oral and Maxillofacial Pathology",16,100,"Musheerabad, Hyderabad","Dentist",200
"MBBS",31,95,"AS Rao Nagar, Hyderabad","General Medicine",200
"MBBS, DDVL",8,93,"Madhapur, Hyderabad","Dermatologists",400
"BDS, MDS - Oral & Maxillofacial Surgery, MFDS RCS",10,95,"Coimbatore Racecourse, Coimbatore","Dentist",200
"MBBS",42,95,"Gandhinagar, Hyderabad","General Medicine",100
"BAMS",9,95,"Chetpet, Chennai","Ayurveda",150
"MBBS, DDVL",22,95,"Madhapur, Hyderabad","Dermatologists",650
"BDS",10,100,"Vileparle East, Mumbai","Dentist",100
"BAMS",9,100,"KPHB, Hyderabad","Ayurveda",300
"MBBS, MS - ENT, MRCS (UK)",25,36,"Whitefield, Bangalore","ENT Specialist",600
"BDS",14,100,"Yelahanka New Town, Bangalore","Dentist",200
"MBBS, MD - Dermatology , Venereology & Leprosy, FRGUHS, Fellowship in Dermatological Laser Surgery",11,97,"Bannerghatta Road, Bangalore","Dermatologists",400
"MBBS, Member of the Royal College of Physicians, UK (MRCP UK), DNB, MNAMS- Family Medicine, MD - Medicine",24,95,"Kodambakkam, Chennai","General Medicine",500
"MBBS, MD - General Medicine",38,99,"Malleswaram, Bangalore","General Medicine",500
"MBBS, MD - Dermatology , Venereology & Leprosy",8,95,"Pallikaranai, Chennai","General Medicine",500
"BDS, MDS",12,99,"Nallakunta, Hyderabad","Dentist",200
"MDS - Prosthodontist And Crown Bridge, BDS",14,98,"Paschim Vihar, Delhi","Dentist",200
"BHMS",5,95,"Meera Bagh, Delhi","Homeopath",150
"BHMS",22,95,"Chattarpur, Delhi","Homeopath",200
"BHMS, MS - Psychology",14,100,"HSR Layout, Bangalore","Homeopath",200
"MDS - Oral & Maxillofacial Surgery, BDS",6,100,"Andheri West, Mumbai","Dentist",500
"MBBS, DDVL, MD - Dermatology , Venereology & Leprosy",36,78,"Himayat Nagar, Hyderabad","Dermatologists",500
"BHMS, Diploma In Skin Aesthetics",6,95,"Adambakkam, Chennai","Homeopath",150
"MBBS, MS - ENT",13,99,"Punjabi Bagh, Delhi","ENT Specialist",500
"MDS - Periodontology and Oral Implantology, Certificate in Cosmetic Dentistry, Post Graduate Certificate in Endodontics (PGCE), BDS, Fellow of Academy of General Education (FAGE)",13,93,"Saket, Delhi","Dentist",300
"MBBS, MS - Otorhinolaryngology",11,95,"Paschim Vihar, Delhi","ENT Specialist",300
"BHMS",18,95,"Mahalaxmi, Mumbai","Homeopath",100
"MBBS",46,95,"Kalina, Mumbai","General Medicine",100
"MBBS, MD - Dermatology",41,87,"Attapur, Hyderabad","Dermatologists",350
"MBBS, MD - Rheumatology",40,93,"Lakdikapul, Hyderabad","General Medicine",500
"BDS, MDS - Prosthodontist And Crown Bridge",7,95,"Ambattur, Chennai","Dentist",100
"BDS, MDS - Paedodontics And Preventive Dentistry",13,98,"Ramnagar, Coimbatore","Dentist",300
"MD - Dermatology, MBBS",12,97,"Shalimar Bagh, Delhi","Dermatologists",600
"MDS-Oral Pathology and Oral Microbiology, BDS",10,95,"AS Rao Nagar, Hyderabad","Dentist",200
"MBBS, MD - General Medicine, FRCP, Doctor of Science (DSc.), D.LITT - Diabetology",49,95,"Nungambakkam, Chennai","General Medicine",100
"BDS",9,95,"Miyapur, Hyderabad","Dentist",250
"BAMS",20,95,"Sagarpur, Delhi","Ayurveda",50
"MBBS, DDV",11,99,"Girgaon, Mumbai","Dermatologists",100
"BDS, MDS - Conservative Dentistry & Endodontics",10,100,"Jayanagar, Bangalore","Dentist",200
"MBBS, MD - General Medicine",16,95,"Palayam, Thiruvananthapuram","General Medicine",150
"BDS, MDS - Conservative Dentistry & Endodontics, FICD",24,99,"Munirka, Delhi","Dentist",500
"MBBS, MD - Dermatology , Venereology & Leprosy",33,95,"Tuglakabad, Delhi","Dermatologists",700
"MD - Dermatology , Venereology & Leprosy",10,94,"Porur, Chennai","Dermatologists",250
"MBBS",36,95,"Moosarambagh, Hyderabad","General Medicine",50
"BAMS, Post Graduate Diploma in Emergency Services (PGDEMS)",8,95,"Dahisar West, Mumbai","Ayurveda",50
"Get inspired by remarkable stories of people like you",0,95,"","Dermatologists",100
"BAMS, MD - Acupuncture, Master of Hospital Administration, MS - Psychology",15,95,"Anna Nagar East, Chennai","Ayurveda",250
"BDS, MDS - Periodontology and Oral Implantology",7,100,"Andheri West, Mumbai","Dentist",200
"BDS, MDS - Conservative Dentistry & Endodontics, Fellow of Academy of General Education (FAGE), BA",12,100,"Bandra West, Mumbai","Dentist",500
"BHMS",12,100,"Kanakpura Road, Bangalore","Homeopath",500
"MD - Dermatology , Venereology & Leprosy, MBBS",13,97,"Green Park, Delhi","Dermatologists",700
"MBBS, DDVL",24,95,"Maduravoyal, Chennai","Dermatologists",200
"BAMS",27,95,"Dahisar East, Mumbai","Ayurveda",100
"BDS, MDS - Periodontics",12,98,"Moosapet, Hyderabad","Dentist",200
"BHMS, MD - Homeopathy",9,95,"Yelahanka New Town, Bangalore","Homeopath",500
"BDS, PGD in Endodontics",16,100,"Koramangala, Bangalore","Dentist",200
"BDS, MDS - Pedodontics",22,99,"TV Medical College, Thiruvananthapuram","Dentist",200
"BDS, MDS - Periodontology and Oral Implantology",20,100,"Mogappair East, Chennai","Dentist",100
"PhD - Orthodontics & Dentofacial Orthopaedics, MOrth",30,98,"Kadavanthra, Ernakulam","Dentist",300
"MBBS, FRCP",52,95,"Greams Road, Chennai","General Medicine",100
"MBBS, MS - Otorhinolaryngology",13,90,"Bommanahalli, Bangalore","ENT Specialist",350
"BDS, MDS - Periodontics",19,95,"T Nagar, Chennai","Dentist",300
"BAMS, MS - Ayurveda",16,100,"Yelahanka, Bangalore","Ayurveda",300
"BDS",10,95,"Hazrat Nizamuddin, Delhi","Dentist",250
"MRCPS, MBBS",60,95,"Old Rajendra Nagar, Delhi","General Medicine",100
"BAMS",12,96,"Dadar West, Mumbai","Ayurveda",100
"MBBS, Diploma in Dermatology",11,90,"Indiranagar, Bangalore","Dermatologists",500
"BDS, P.G Diploma in Aesthetic Dentistry",15,100,"Perumbakkam, Chennai","Dentist",200
"MDS - Conservative Dentistry & Endodontics, BDS",6,100,"Arekere, Bangalore","Dentist",250
"MBBS, MD - General Medicine",5,95,"Shaikpet, Hyderabad","General Medicine",500
"BDS",9,95,"Vyttila, Ernakulam","Dentist",200
"MBBS, DDV",21,95,"Khar West, Mumbai","Dermatologists",100
"BDS",7,95,"Kadavanthra, Ernakulam","Dentist",250
"MD - Ayurveda Medicine, BAMS",20,95,"Goregaon West, Mumbai","Ayurveda",500
"BAMS, MS - Ayurveda",10,95,"Bakkarwala, Delhi","Ayurveda",150
"BHMS",12,95,"Nesapakkam, Chennai","Homeopath",100
"BHMS",12,95,"Malleswaram, Bangalore","Homeopath",500
"BHMS",26,82,"BTM Layout 2nd Stage, Bangalore","Homeopath",200
"MBBS, Diploma in Otorhinolaryngology (DLO)",31,95,"Ashok Nagar, Chennai","ENT Specialist",200
"MBBS, DDV",15,95,"Chandivali, Mumbai","Dermatologists",600
"MBBS, MD - Tuberculosis & Respiratory Diseases/Medicine",11,95,"Uttam Nagar, Delhi","General Medicine",300
"BDS",11,100,"Gujranwala Town, Delhi","Dentist",300
"MBBS",5,95,"Greater Kailash Part 1, Delhi","General Medicine",800
"MS - General Surgery, Diploma in Otorhinolaryngology (DLO)",24,95,"Kodambakkam, Chennai","ENT Specialist",300
"DDVL, Diploma in Health Administration, MD - Dermatology, MBBS",13,90,"Defence Colony, Delhi","Dermatologists",100
"MBBS, MD - Dermatology",12,95,"Panchsheel Park, Delhi","Dermatologists",800
"BDS",5,98,"Thoraipakkam, Chennai","Dentist",200
"BHMS",8,100,"South Extension 2, Delhi","Homeopath",350
"MBBS, MD - Skin & VD, FAMS - Fellowship of the Academy Medicine",8,95,"Kandivali East, Mumbai","Dermatologists",100
"MBBS",35,95,"Andheri West, Mumbai","General Medicine",200
"MBBS, Diploma in Dermatology",24,95,"Malleswaram, Bangalore","Dermatologists",300
"MBBS, DDVL",14,89,"Indiranagar, Bangalore","Dermatologists",500
"MBBS, MD - Internal Medicine, DNB - Internal Medicine",19,89,"KPHB, Hyderabad","General Medicine",400
"MD - General Medicine, MBBS",34,100,"Borivali West, Mumbai","General Medicine",100
"MBBS, MS - ENT, DNB - ENT, FRCS - General Surgery",21,74,"Pallikaranai, Chennai","ENT Specialist",500
"MBBS",13,96,"Jubilee Hills, Hyderabad","General Medicine",750
"MBBS, MS - ENT",39,86,"Pitampura, Delhi","ENT Specialist",800
"MBBS, Diploma in Otorhinolaryngology (DLO)",35,100,"Banashankari 3rd Stage, Bangalore","ENT Specialist",200
"BHMS, MD - Homeopathy",36,95,"Kolenchery, Ernakulam","Homeopath",250
"MBBS, Diploma in Otorhinolaryngology (DLO), MRCS (UK)",19,100,"Kumaraswamy Layout, Bangalore","ENT Specialist",300
"MBBS, DDVL",10,89,"Vadapalani, Chennai","Dermatologists",800
"MBBS, DNB - ENT",7,95,"Manikonda, Hyderabad","ENT Specialist",300
"MBBS",32,95,"Gandhipuram, Coimbatore","General Medicine",150
"BDS",18,92,"Yeshwanthpur, Bangalore","Dentist",400
"BHMS, MD - Homeopathy, PhD - Homoeopathy",17,99,"Ayanavaram, Chennai","Homeopath",100
"BDS, Certificate in Dental Implants, MDS - Orthodontics and Dentofacial Orthopaedics",9,100,"Vyttila, Ernakulam","Dentist",300
"BAMS",5,100,"Basaveshwaranagar, Bangalore","Ayurveda",200
"BHMS",20,95,"Malad West, Mumbai","Homeopath",100
"BAMS",9,95,"Vikas Puri, Delhi","Ayurveda",300
"DHMS (Diploma in Homeopathic Medicine and Surgery)",35,100,"T Nagar, Chennai","Homeopath",500
"MBBS, MS - ENT",17,95,"HSR Layout, Bangalore","ENT Specialist",500
"BDS, MDS - Periodontology and Oral Implantology",6,95,"Kondapur, Hyderabad","Dentist",200
"BDS",10,100,"Andheri East, Mumbai","Dentist",300
"MBBS, MS - ENT",5,100,"Sulur, Coimbatore","ENT Specialist",100
"MBBS",36,95,"Adyar, Chennai","General Medicine",600
"BDS, MDS - Periodontics",19,94,"Indiranagar, Bangalore","Dentist",100
"BAMS",11,95,"Krishna Nagar, Delhi","Ayurveda",300
"BDS",12,99,"Langer House, Hyderabad","Dentist",150
"MBBS, MD - Dermatology",17,80,"Thiruvanmiyur, Chennai","Dermatologists",400
"MBBS, MD - Dermatology",18,96,"Malleswaram, Bangalore","Dermatologists",500
"MDS - Oral & Maxillofacial Surgery, BDS",7,95,"Dwarka, Delhi","Dentist",300
"BDS",14,95,"Powai, Mumbai","Dentist",200
"BAMS",0,95,"Bhandup West, Mumbai","Ayurveda",100
"MBBS, DNB - Family Medicine",12,95,"Janak Puri, Delhi","General Medicine",400
"MBBS, MD - General Medicine",28,83,"Rajajinagar, Bangalore","General Medicine",200
"BHMS",9,100,"South Extension 1, Delhi","Homeopath",200
"BAMS",18,95,"Borivali West, Mumbai","Ayurveda",300
"MS - ENT, DNB - ENT, Diploma in Otorhinolaryngology (DLO)",28,96,"Kemps Corner, Mumbai","ENT Specialist",100
"PhD - Orthodontics & Dentofacial Orthopaedics, BDS",16,93,"Peelamedu, Coimbatore","Dentist",200
"BHMS, MD - Homeopathy, MS - Psychology",7,100,"Kandivali West, Mumbai","Homeopath",500
"BDS, MS - Pediatric",11,98,"Thevara, Ernakulam","Dentist",100
"MBBS, MD - General Medicine, Member of the Royal Society for the Promotion of Health (UK) (MRSH), Post Graduate Diploma in Endocrinology",27,88,"Wilson Garden, Bangalore","General Medicine",300
"MBBS, DDV",18,76,"RT Nagar, Bangalore","Dermatologists",400
"BAMS, MD - Ayurveda Medicine",32,95,"Wadala, Mumbai","Ayurveda",300
"MBBS",32,95,"Pahar Ganj, Delhi","General Medicine",500
"BAMS, MD - Ayurveda Medicine",12,95,"Chanchalguda, Hyderabad","Ayurveda",150
"BHMS",15,95,"Chikkadpally, Hyderabad","Homeopath",600
"MBBS",58,92,"Old Rajendra Nagar, Delhi","General Medicine",100
"MD - Internal Medicine, Post Graduate Diploma in Diabetology (PGDD), MBBS",17,85,"Andheri East, Mumbai","General Medicine",100
"MDS - Oral & Maxillofacial Surgery",13,95,"Pasur-avanashi, Coimbatore","Dentist",100
"BDS, MDS - Prosthodontics",5,100,"Kandivali West, Mumbai","Dentist",100
"MBBS, DDV",20,95,"Nagarbhavi, Bangalore","Dermatologists",300
"MS - ENT, MBBS",31,92,"Old Rajendra Nagar, Delhi","ENT Specialist",800
"MBBS, MD - Dermatology , Venereology & Leprosy",10,95,"Lajpat Nagar, Delhi","Dermatologists",500
"MBBS",42,95,"Mayur Vihar Ph-I, Delhi","General Medicine",250
"BDS, MDS",13,95,"Manikonda, Hyderabad","Dentist",200
"DHMS (Diploma in Homeopathic Medicine and Surgery), M.Sc.- Clinical Nutrition and Dietetics, MSc - Psychotherapy And Counselling",27,95,"Indiranagar, Bangalore","Homeopath",500
"MBBS, MD - Dermatology , Venereology & Leprosy",4,95,"Kondapur, Hyderabad","Dermatologists",500
"MD - Ayurveda Medicine",16,95,"Dilshad Garden, Delhi","Ayurveda",300
"MBBS, MS - ENT, MRCS (UK)",18,95,"Janak Puri, Delhi","ENT Specialist",600
"MBBS, DDVL",15,96,"Porur, Chennai","Dermatologists",450
"BDS",5,95,"Pallikaranai, Chennai","Dentist",300
"BHMS",11,95,"Whitefield, Bangalore","Homeopath",400
"BAMS",26,95,"Vijayanagar, Bangalore","Ayurveda",100
"BAMS, MS (Shalyatantra), MSc - Yoga",14,95,"Arekere, Bangalore","Ayurveda",250
"BAMS",6,95,"Whitefield, Bangalore","Ayurveda",250
"MBBS, MS - ENT, DLO",27,95,"Alwarpet, Chennai","ENT Specialist",700
"BAMS",8,95,"Pappanamcode, Thiruvananthapuram","Ayurveda",150
"MBBS, MS - ENT, DNB - ENT",9,97,"Aluva, Ernakulam","ENT Specialist",300
"BDS, Post Graduate Diploma in Advanced Implantology",15,95,"Nariman Point, Mumbai","Dentist",500
"BDS",7,98,"Kilkattalai, Chennai","Dentist",80
"MBBS, MD - Dermatology",14,95,"Dilsukhnagar, Hyderabad","Dermatologists",300
"MBBS",45,95,"Kurla West, Mumbai","General Medicine",50
"MBBS, MD - Alternate Medicine, Post Graduate Diploma in Counselling & Psychotherapy, MS - Counselling & Psychotherapy, PhD - Alternative Medicine",21,56,"Begumpet, Hyderabad","General Medicine",100
"BDS",14,96,"Kaloor, Ernakulam","Dentist",100
"BDS, Fellowship in Oral implantlogy",6,95,"Ramnagar, Coimbatore","Dentist",200
"MBBS, MD - Dermatology",8,97,"Indiranagar, Bangalore","Dermatologists",500
"MBBS, MS - ENT",27,95,"Saket, Delhi","ENT Specialist",100
"BAMS",44,95,"Malad West, Mumbai","Ayurveda",50
"BHMS",11,95,"Hitech City, Hyderabad","Homeopath",450
"MBBS, DDVL",11,80,"Dilsukhnagar, Hyderabad","Dermatologists",300
"BHMS",28,95,"Goregaon East, Mumbai","Homeopath",250
"MD - General Medicine, MBBS",30,95,"Velandipalayam, Coimbatore","General Medicine",100
"BHMS, Diploma in Personal Counselling Skills (DPCS)",16,100,"Ghatkopar East, Mumbai","Homeopath",100
"BDS",11,99,"Mulund West, Mumbai","Dentist",200
"MBBS, MS - ENT",17,93,"Yousufguda, Hyderabad","ENT Specialist",300
"MBBS, MD - Dermatology, DNB - Dermatology, Venereology & Leprosy",15,100,"Andheri West, Mumbai","Dermatologists",800
"BDS",8,95,"Jayanagar, Bangalore","Dentist",100
"GCEH",33,95,"Ghatkopar West, Mumbai","Homeopath",100
"MBBS",30,99,"Wadala, Mumbai","General Medicine",400
"BHMS",3,95,"Janak Puri, Delhi","Homeopath",700
"BDS",4,95,"TVM Beach, Thiruvananthapuram","Dentist",100
"MBBS, MS - General Surgery, DNB",27,95,"Vanagaram, Chennai","General Medicine",100
"BHMS, Certification in Personal Counsling",16,95,"Worli, Mumbai","Homeopath",600
"BDS",21,95,"Koramangala 1 Block, Bangalore","Dentist",200
"DHMS (Diploma in Homeopathic Medicine and Surgery)",37,95,"Kodambakkam, Chennai","Homeopath",200
"BHMS",19,95,"Mayur Vihar Ph-I, Delhi","Homeopath",100
"BAMS",15,95,"Saki Vihar Road, Mumbai","Ayurveda",200
"MS - Otorhinolaryngology",6,95,"Versova, Mumbai","ENT Specialist",500
"BDS, MDS - Conservative Dentistry & Endodontics",25,95,"CV Raman Nagar, Bangalore","Dentist",200
"Post Graduate Diploma in Healthcare Management(PGDHM), MBBS, MD - Internal Medicine",40,95,"Secunderabad, Hyderabad","General Medicine",500
"MBBS, MS - ENT",25,98,"Shalimar Bagh, Delhi","ENT Specialist",800
"MBBS, MD - Dermatology , Venereology & Leprosy, Fellowship in Lasers & Cosmetology",9,95,"BTM Layout 1st Stage, Bangalore","Dermatologists",400
"MBBS, Fellowship In Anti-Aging And Aesthetic Medicine, Diploma in Practical Dermatology, Fellow Hair Transplant Surgery, Fellowship in Lasers & Advanced Dermatology",16,94,"Jubilee Hills, Hyderabad","Dermatologists",500
"BDS",46,98,"Ramkoti, Hyderabad","Dentist",200
"MBBS, MD - Internal Medicine",35,95,"Saket, Delhi","General Medicine",600
"BDS, MDS - Paedodontics And Preventive Dentistry",9,97,"Borivali West, Mumbai","Dentist",500
"DNB - Paediatrics, MRCPCH (UK), MBBS",30,95,"MRC Nagar, Chennai","General Medicine",500
"MBBS, Diploma in Otorhinolaryngology (DLO)",41,95,"Malkajgiri, Hyderabad","General Medicine",100
"BDS, MDS - Oral Medicine and Radiology",15,99,"Yelahanka New Town, Bangalore","Dentist",200
"MD - Homeopathy, Diploma in Obesity managemnt, BHMS",11,97,"Malad West, Mumbai","Homeopath",100
"MBBS, MS - ENT",9,99,"Gachibowli, Hyderabad","ENT Specialist",500
"BAMS, Certificate Course In Therapeutic Yoga",10,100,"Mogappair West, Chennai","Ayurveda",250
"BHMS",18,95,"Mayur Vihar Ph-III, Delhi","Homeopath",200
"BHMS",8,95,"Kurla East, Mumbai","Homeopath",60
"MBBS, MS - ENT",38,95,"Ashok Vihar, Delhi","ENT Specialist",500
"MBBS, MD - General Medicine, DNB - Nephrology",33,80,"Mahim, Mumbai","General Medicine",100
"MBBS, FRGUHS, MD - Dermatology , Venereology & Leprosy",9,94,"Whitefield, Bangalore","Dermatologists",600
"MBBS, MD - General Medicine, DM - Neurology",27,95,"Villivakkam, Chennai","General Medicine",200
"Certification in Aesthetic Dentistry, Certificate in Cosmetic Dentistry, BDS",9,95,"Srinagar Colony, Hyderabad","Dentist",300
"BHMS",7,95,"Ghatkopar East, Mumbai","Homeopath",350
"MBBS, MS - ENT, DNB - ENT",32,95,"Mahim, Mumbai","ENT Specialist",100
"MBBS, MD - General Medicine, MRCP",21,93,"Yeshwanthpur, Bangalore","General Medicine",400
"BHMS",28,100,"Pitampura, Delhi","Homeopath",300
"MBBS, MS - ENT",50,95,"Chetpet, Chennai","ENT Specialist",300
"MS - ENT, MBBS",44,98,"Kadavanthra, Ernakulam","General Medicine",400
"Fellowship In Laryngology Bronchoesophagology, MBBS, DNB - ENT",5,95,"Bhandup West, Mumbai","ENT Specialist",600
"FAGE, MBBS",4,100,"Gujranwala Town, Delhi","General Medicine",300
"MS - ENT, MBBS, MS - Otorhinolaryngology",5,95,"Chromepet, Chennai","ENT Specialist",300
"MBBS, MD - Dermatology",21,100,"Banjara Hills, Hyderabad","Dermatologists",500
"BDS, MDS - Pedodontics",9,99,"Coimbatore Racecourse, Coimbatore","Dentist",200
"MBBS, Diploma in Medical Radio-Diagnosis",29,93,"Basheerbagh, Hyderabad","General Medicine",500
"MD - Dermatology , Venereology & Leprosy, MBBS",10,100,"Pammal, Chennai","Dermatologists",200
"BDS, MDS - Pedodontics",14,97,"Anna Nagar East, Chennai","Dentist",200
"BHMS",6,100,"Malleswaram, Bangalore","Homeopath",300
"MDS - Oral & Maxillofacial Surgery, BDS",18,95,"Banashankari, Bangalore","Dentist",550
"MBBS, MS - ENT",17,91,"Banjara Hills, Hyderabad","ENT Specialist",550
"BHMS, MD - Homeopathy",18,95,"Malad West, Mumbai","Homeopath",500
"BDS, Certification in Full Mouth Rehabilitation",15,99,"Velachery, Chennai","Dentist",200
"MD - Dermatology , Venereology & Leprosy, MBBS",6,95,"Chanakyapuri, Delhi","Dermatologists",900
"MBBS, DDV, DNB",22,96,"Kalyan Nagar, Bangalore","Dermatologists",500
"BHMS, Diploma in Acupuncture, MD - Homeopathy, Diploma in Naturopathy & Yogic Science (DNYS)",12,95,"Oshiwara, Mumbai","Homeopath",100
"MBBS, MD - Dermatology",7,95,"Karapakkam, Chennai","Dermatologists",700
"DHMS (Diploma in Homeopathic Medicine and Surgery)",27,96,"Borivali, Mumbai","Homeopath",150
"BDS, MFDS RCS",19,100,"Alwarpet, Chennai","Dentist",200
"MBBS, MS - ENT",24,95,"Powai, Mumbai","ENT Specialist",700
"MBBS, MS - ENT",10,93,"Attapur, Hyderabad","ENT Specialist",300
"MBBS",46,95,"Mylapore, Chennai","General Medicine",150
"MBBS, DNB - Internal Medicine",17,100,"Basaveshwaranagar, Bangalore","General Medicine",150
"MS - General Surgery, Fellowship in Minimal Access Surgery, MBBS",45,94,"Electronics City, Bangalore","General Medicine",400
"BHMS",3,95,"Malleswaram, Bangalore","Homeopath",300
"BAMS",30,95,"Perungudi, Chennai","Ayurveda",150
"MBBS, DGO, Diploma in Dermatology",28,97,"Madhapur, Hyderabad","Dermatologists",500
"MBBS",35,95,"Basavanagudi, Bangalore","General Medicine",100
"BDS",8,95,"Thoraipakkam, Chennai","Dentist",200
"BDS, MDS - Oral & Maxillofacial Surgery, Diplomate in Oral Implantology, Masters in Oral Implantology, Implant Externship Program, Fellowship in Implantology, Fellowship in Aesthetic Medicine",19,94,"MG Road, Bangalore","Dentist",500
"MBBS, Diploma in Otorhinolaryngology (DLO)",18,95,"Thiruvottiyur, Chennai","ENT Specialist",200
"MBBS, MD - Internal Medicine, FRCP",29,100,"Adyar, Chennai","General Medicine",950
"MD - Ayurveda Medicine, BAMS",5,95,"Mulund West, Mumbai","Ayurveda",500
"Fellowship in Aesthetic Medicine, MD - Dermatology",19,95,"Greater Kailash Part 2, Delhi","Dermatologists",750
"BDS, MDS - Paedodontics And Preventive Dentistry",15,100,"T Nagar, Chennai","Dentist",200
"BDS, MDS - Periodontics",9,95,"Kandivali West, Mumbai","Dentist",100
"MD - Dermatology, MBBS",9,95,"Kolenchery, Ernakulam","Dermatologists",200
"BHMS",8,95,"Dwarka, Delhi","Homeopath",250
"MBBS, Diploma in Dermatology",24,97,"Adyar, Chennai","Dermatologists",500
"BAMS, M.S. (Ayurved) Stri Roga & Prasuti Tantra",17,95,"Janak Puri, Delhi","Ayurveda",300
"BAMS, MS - Ayurveda, Fellow of Academy of General Education (FAGE)",6,99,"Bilekahalli, Bangalore","Ayurveda",100
"BAMS",11,95,"Kandivali West, Mumbai","Ayurveda",100
"MBBS, DGO",35,95,"Nanganallur, Chennai","General Medicine",300
"BAMS",28,95,"Rohini, Delhi","Ayurveda",300
"MBBS",31,95,"Dwarka, Delhi","General Medicine",300
"BDS",9,100,"Jubilee Hills, Hyderabad","Dentist",350
"BHMS",23,95,"Thrikkakara, Ernakulam","Homeopath",200
"MBBS, MS - ENT",22,56,"Manapakkam, Chennai","ENT Specialist",600
"BDS, MDS - Conservative Dentistry & Endodontics",11,95,"Bellandur, Bangalore","Dentist",200
"MBBS",22,95,"Ameerpet, Hyderabad","General Medicine",400
"BAMS",25,95,"Thiruvallom, Thiruvananthapuram","Ayurveda",100
"BHMS",16,95,"Powai, Mumbai","Homeopath",450
